Cycles,Current density,Voltage
0.11653,10,-212.87397
0.11707,10,-212.08383
0.11762,10,-211.29124
0.11816,10,-210.49619
0.1187,10,-209.69869
0.11924,10,-208.89877
0.11978,10,-208.09641
0.12033,10,-207.29164
0.12087,10,-206.48446
0.12141,10,-205.67488
0.12195,10,-204.86291
0.1225,10,-204.04857
0.12304,10,-203.23185
0.12358,10,-202.41277
0.12412,10,-201.59135
0.12467,10,-200.76758
0.12521,10,-199.94148
0.12575,10,-199.11305
0.12629,10,-198.28232
0.12684,10,-197.44928
0.12738,10,-196.61395
0.12792,10,-195.77633
0.12846,10,-194.93645
0.12901,10,-194.09429
0.12955,10,-193.24989
0.13009,10,-192.40323
0.13063,10,-191.55435
0.13118,10,-190.70324
0.13172,10,-189.84991
0.13226,10,-188.99438
0.1328,10,-188.13666
0.13334,10,-187.27675
0.13389,10,-186.41466
0.13443,10,-185.55041
0.13497,10,-184.684
0.13551,10,-183.81545
0.13606,10,-182.94477
0.1366,10,-182.07195
0.13714,10,-181.19703
0.13768,10,-180.32
0.13823,10,-179.44088
0.13877,10,-178.55967
0.13931,10,-177.67639
0.13985,10,-176.79104
0.1404,10,-175.90364
0.14094,10,-175.0142
0.14148,10,-174.12272
0.14202,10,-173.22923
0.14257,10,-172.33372
0.14311,10,-171.43621
0.14365,10,-170.5367
0.14419,10,-169.63522
0.14474,10,-168.73177
0.14528,10,-167.82636
0.14582,10,-166.91899
0.14636,10,-166.00969
0.1469,10,-165.09847
0.14745,10,-164.18532
0.14799,10,-163.27027
0.14853,10,-162.35332
0.14907,10,-161.43448
0.14962,10,-160.51377
0.15016,10,-159.5912
0.1507,10,-158.66677
0.15124,10,-157.7405
0.15179,10,-156.8124
0.15233,10,-155.88247
0.15287,10,-154.95074
0.15341,10,-154.0172
0.15396,10,-153.08188
0.1545,10,-152.14478
0.15504,10,-151.20591
0.15558,10,-150.26528
0.15613,10,-149.32291
0.15667,10,-148.37881
0.15721,10,-147.43298
0.15775,10,-146.48544
0.1583,10,-145.5362
0.15884,10,-144.58527
0.15938,10,-143.63266
0.15992,10,-142.67838
0.16046,10,-141.72244
0.16101,10,-140.76486
0.16155,10,-139.80564
0.16209,10,-138.8448
0.16263,10,-137.88234
0.16318,10,-136.91829
0.16372,10,-135.95264
0.16426,10,-134.98542
0.1648,10,-134.01662
0.16535,10,-133.04627
0.16589,10,-132.07438
0.16643,10,-131.10095
0.16697,10,-130.126
0.16752,10,-129.14953
0.16806,10,-128.17157
0.1686,10,-127.19212
0.16914,10,-126.21119
0.16969,10,-125.22879
0.17023,10,-124.24494
0.17077,10,-123.25965
0.17131,10,-122.27292
0.17186,10,-121.28478
0.1724,10,-120.29523
0.17294,10,-119.30427
0.17348,10,-118.31194
0.17402,10,-117.31823
0.17457,10,-116.32315
0.17511,10,-115.32673
0.17565,10,-114.32896
0.17619,10,-113.32987
0.17674,10,-112.32946
0.17728,10,-111.32775
0.17782,10,-110.32474
0.17836,10,-109.32045
0.17891,10,-108.31489
0.17945,10,-107.30808
0.17999,10,-106.30002
0.18053,10,-105.29072
0.18108,10,-104.2802
0.18162,10,-103.26847
0.18216,10,-102.25553
0.1827,10,-101.24142
0.18325,10,-100.22612
0.18379,10,-99.20966
0.18433,10,-98.19205
0.18487,10,-97.1733
0.18542,10,-96.15342
0.18596,10,-95.13242
0.1865,10,-94.11032
0.18704,10,-93.08712
0.18758,10,-92.06284
0.18813,10,-91.0375
0.18867,10,-90.01109
0.18921,10,-88.98364
0.18975,10,-87.95516
0.1903,10,-86.92565
0.19084,10,-85.89514
0.19138,10,-84.86363
0.19192,10,-83.83113
0.19247,10,-82.79765
0.19301,10,-81.76322
0.19355,10,-80.72784
0.19409,10,-79.69152
0.19464,10,-78.65427
0.19518,10,-77.61611
0.19572,10,-76.57704
0.19626,10,-75.53709
0.19681,10,-74.49626
0.19735,10,-73.45457
0.19789,10,-72.41202
0.19843,10,-71.36863
0.19898,10,-70.32441
0.19952,10,-69.27938
0.20006,10,-68.23354
0.2006,10,-67.1869
0.20114,10,-66.13949
0.20169,10,-65.09131
0.20223,10,-64.04237
0.20277,10,-62.99269
0.20331,10,-61.94227
0.20386,10,-60.89114
0.2044,10,-59.8393
0.20494,10,-58.78676
0.20548,10,-57.73355
0.20603,10,-56.67966
0.20657,10,-55.62511
0.20711,10,-54.56991
0.20765,10,-53.51409
0.2082,10,-52.45764
0.20874,10,-51.40058
0.20928,10,-50.34292
0.20982,10,-49.28468
0.21037,10,-48.22587
0.21091,10,-47.16649
0.21145,10,-46.10657
0.21199,10,-45.04611
0.21254,10,-43.98513
0.21308,10,-42.92364
0.21362,10,-41.86165
0.21416,10,-40.79917
0.2147,10,-39.73622
0.21525,10,-38.67281
0.21579,10,-37.60894
0.21633,10,-36.54465
0.21687,10,-35.47992
0.21742,10,-34.41479
0.21796,10,-33.34925
0.2185,10,-32.28333
0.21904,10,-31.21703
0.21959,10,-30.15037
0.22013,10,-29.08336
0.22067,10,-28.01601
0.22121,10,-26.94833
0.22176,10,-25.88034
0.2223,10,-24.81205
0.22284,10,-23.74348
0.22338,10,-22.67462
0.22393,10,-21.60551
0.22447,10,-20.53614
0.22501,10,-19.46653
0.22555,10,-18.3967
0.2261,10,-17.32665
0.22664,10,-16.25641
0.22718,10,-15.18597
0.22772,10,-14.11536
0.22826,10,-13.04458
0.22881,10,-11.97365
0.22935,10,-10.90258
0.22989,10,-9.83139
0.23043,10,-8.76008
0.23098,10,-7.68867
0.23152,10,-6.61717
0.23206,10,-5.54559
0.2326,10,-4.47395
0.23315,10,-3.40225
0.23369,10,-2.33052
0.23423,10,-1.25876
0.23477,10,-0.18698
0.23532,10,0.8848
0.23586,10,1.95656
0.2364,10,3.02831
0.23694,10,4.10002
0.23749,10,5.17168
0.23803,10,6.24329
0.23857,10,7.31482
0.23911,10,8.38626
0.23966,10,9.45761
0.2402,10,10.52885
0.24074,10,11.59997
0.24128,10,12.67095
0.24182,10,13.74178
0.24237,10,14.81246
0.24291,10,15.88296
0.24345,10,16.95328
0.24399,10,18.0234
0.24454,10,19.09332
0.24508,10,20.16301
0.24562,10,21.23246
0.24616,10,22.30168
0.24671,10,23.37063
0.24725,10,24.43931
0.24779,10,25.5077
0.24833,10,26.5758
0.24888,10,27.6436
0.24942,10,28.71107
0.24996,10,29.77821
0.2505,10,30.845
0.25105,10,31.91143
0.25159,10,32.97749
0.25213,10,34.04317
0.25267,10,35.10846
0.25322,10,36.17334
0.25376,10,37.23779
0.2543,10,38.30182
0.25484,10,39.3654
0.25538,10,40.42852
0.25593,10,41.49118
0.25647,10,42.55335
0.25701,10,43.61502
0.25755,10,44.6762
0.2581,10,45.73685
0.25864,10,46.79697
0.25918,10,47.85655
0.25972,10,48.91557
0.26027,10,49.97402
0.26081,10,51.03189
0.26135,10,52.08917
0.26189,10,53.14585
0.26244,10,54.20191
0.26298,10,55.25734
0.26352,10,56.31212
0.26406,10,57.36626
0.26461,10,58.41973
0.26515,10,59.47251
0.26569,10,60.52461
0.26623,10,61.57601
0.26678,10,62.62669
0.26732,10,63.67664
0.26786,10,64.72585
0.2684,10,65.77431
0.26894,10,66.82201
0.26949,10,67.86893
0.27003,10,68.91506
0.27057,10,69.9604
0.27111,10,71.00492
0.27166,10,72.04861
0.2722,10,73.09147
0.27274,10,74.13348
0.27328,10,75.17463
0.27383,10,76.2149
0.27437,10,77.25429
0.27491,10,78.29279
0.27545,10,79.33037
0.276,10,80.36703
0.27654,10,81.40276
0.27708,10,82.43755
0.27762,10,83.47137
0.27817,10,84.50423
0.27871,10,85.5361
0.27925,10,86.56698
0.27979,10,87.59686
0.28034,10,88.62572
0.28088,10,89.65355
